x,x,x,x,wasp,flys,springtails,slugs,spider,aphid,earthworm,Coleoptera (excluding carbids) e.g. ocypus (rove beetles) and latriidae and scarabs,lice,mites.2,mites,woodlice,soil centipedes,common beetle,"carlus, like brevicollis but no snatched pronotum",conspicuous setae on antenna,strenuus (like loricera but antenae not hairy),"niger, like brev but 2 cm","night1 took ages,","dull, semicircle pronotum, simialr to brevicollis, slighly bigger","metallic green,  ~1cm","3-4 mm, black, shiny, dark antennae, lighter legs","oo like membidion but light bronze, 5- 6.5 mm","big eyes, 5mm",like obsurus but lighter and more obvious neck,"coppery + green, 9mm",amara plebeja - dome shaped beetle,"aenea, like other amara but has black legs completely","snatched waist, weird feet",brevicollis_larvae,nebria_rufescens,amara_aenea_larvae,trechus_obtusus,madidus,big head- following up,oodes_helopioides,loricera_pilicornis,"carabus_coriaceus_larvae, base of ;egs lighter, ceric same length as tube",non-identifiable,cantharidae,colepotera_larvae_excluding_carabids,diptera_larvae,lepidoptera,hemiptera (root aphid)
month,plot,plot_type,trap,hymenoptera,diptera,collembola,stylommatophora,araneae,hemiptera,opisthopora,coleoptera_excluding_carabids,psocodea,mesostigmata,trombidiformes,isopod,geophilomorpha,nebria_brevicollis,calathus_fuscipes,loricera_pilicornis,pterostichus_strenuus,pterostichus_niger,poecilus_cupreus,harpalus_rufipes,anchomenus_dorsalis,bembidion_lampros,oxypselaphus_obscurus,notiophilus_biguttatus,trechus_obtusus,agonum_muelleri,amara_plebeja,amara_aenea,clivina_fossor,nebria_brevicollis_larvae,nebria_rufescens_larvae,amara_aenea_larvae,trechus_obtusus_larvae,pterostichus_madidus_larvae,harpalus_rufipes_larvae,oodes_helopioides_larvae,loricera_pilicornis_larvae,carabus_coriaceus_larvae,non_identifiable_carabid_larvae,cantharidae_larvae,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,hemiptera_larvae
september,1,fallow,pitfall_1,3,8,5,2,1,,,,,,,,,32,,3,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
september,1,fallow,pitfall_2,5,4,25,,2,,,,,,,,,30,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
september,1,fallow,pitfall_3,2,1,3,,1,,1,2,,,,,,22,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,
september,1,fallow,sub_1,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1
september,1,fallow,sub_2,,1,,,,,,2,,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,2,,1
september,2,mustard,pitfall_1,1,9,11,,1,,4,2,,,,,,46,,,2,,1,1,1,,1,,,,,,,,,,,3,,,,,,,,,,
september,2,mustard,pitfall_2,6,6,33,,,,4,7,,,2,,,74,,,,,,,,1,,,6,1,,,2,,,,,1,,,,,1,,,2,,
september,2,mustard,pitfall_3,5,1,5,,,,,,,,,,,49,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,
september,2,mustard,sub_1,5,1,11,2,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
september,2,mustard,sub_2,2,,2,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
september,3,mustard,pitfall_1,2,6,12,,2,,2,2,,,1,,,30,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
september,3,mustard,pitfall_2,1,2,3,,,,2,4,1,,,,,32,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
september,3,mustard,pitfall_3,,,3,,,,1,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september,3,mustard,sub_1,1,4,6,2,,,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,4,,
september,3,mustard,sub_2,5,,10,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
september,4,fallow,pitfall_1,,5,20,1,,,1,1,5,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september,4,fallow,pitfall_2,1,7,4,1,,,5,1,,,,,,38,,,,,,,,3,3,1,,,,,,,1,,,,,,,,,,,,,
september,4,fallow,pitfall_3,1,10,15,,,,4,2,,,,,,44,,,1,,,,1,2,5,,,,,,,,1,,,,,,,,,,,,,
september,4,fallow,sub_1,1,,12,1,,,1,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
september,4,fallow,sub_2,2,,7,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,
september,5,mustard,pitfall_1,1,13,21,,2,,5,3,,,,,,86,,,,1,,,1,1,2,1,8,,,,,1,,,,,,,,,,2,,2,,
september,5,mustard,pitfall_2,11,9,6,,2,1,4,,,,,,,29,,1,1,1,,,,,,,3,,1,,,,,,,,,,,,,,,,,2
september,5,mustard,pitfall_3,5,5,9,2,2,2,2,3,,,,,,86,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,
september,5,mustard,sub_1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,
september,5,mustard,sub_2,,,3,2,,,1,,,,,,,10,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,1,,
september,6,fallow,pitfall_1,6,2,11,,,,,3,,1,1,,,25,,,2,,,,,,,,6,,,1,,,,,,,,,1,,1,,,1,,
september,6,fallow,pitfall_2,2,4,6,,,,3,,,,,,,44,2,,,,,,,1,1,,3,,,1,,,,,,,,,,,,,,,,
september,6,fallow,pitfall_3,4,7,17,,,,4,,,,,,,27,1,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,
september,6,fallow,sub_1,6,4,10,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,4,,
september,6,fallow,sub_2,2,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,
september,7,fallow,pitfall_1,19,10,15,1,2,1,7,,,,,,,46,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,
september,7,fallow,pitfall_2,3,5,13,1,1,,15,2,,,,,,49,,,2,1,,,,1,,,2,,,,,1,,,,,,,,,,,,,,
september,7,fallow,pitfall_3,5,6,17,,2,,2,2,,,,,,21,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
september,7,fallow,sub_1,1,3,3,3,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,12,,
september,7,fallow,sub_2,11,,3,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,
september,8,mustard,pitfall_1,11,6,13,,4,,10,3,,,,,,33,,1,,3,,,,1,4,,2,,,,,1,,,,1,,,,,,,,,,1
september,8,mustard,pitfall_2,3,15,6,,,,10,3,,,,,,43,,1,,,,,1,,,,3,,,1,,,,,,,,,,,,1,,1,,
september,8,mustard,pitfall_3,13,7,5,1,,,9,,,,,,,23,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
september,8,mustard,sub_1,3,,,4,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
september,8,mustard,sub_2,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,1,,,,,,,,,,,2,,
october,1,fallow,pitfall_1,1,,4,,,,,,,,,,,7,,1,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,
october,1,fallow,pitfall_2,,1,40,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,
october,1,fallow,pitfall_3,,,34,,1,,1,,,,,,,5,,,,,,,,1,2,,,,,,,,1,,,,,,,,,2,,,,
october,1,fallow,sub_1,,,4,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
october,1,fallow,sub_2,,1,16,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,,
october,2,mustard,pitfall_1,,1,7,1,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
october,2,mustard,pitfall_2,,,13,,,,,1,,,,,1,3,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,
october,2,mustard,pitfall_3,1,,5,5,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
october,2,mustard,sub_1,,,10,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,
october,2,mustard,sub_2,,,,,1,1,,1,,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,
october,3,mustard,pitfall_1,2,1,7,3,,,1,8,,,,,,2,,2,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,
october,3,mustard,pitfall_2,,,3,4,2,1,1,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,
october,3,mustard,pitfall_3,,,9,,,,,,,,,,,19,,1,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,
october,3,mustard,sub_1,1,,12,1,2,,,1,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,7,,,,
october,3,mustard,sub_2,,,24,1,,,1,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,1,,,,
october,4,fallow,pitfall_1,,2,17,5,1,,1,4,1,,,,,3,,2,,,,,,2,,,3,,,,,1,1,,,,,,,,,,,,,
october,4,fallow,pitfall_2,,,14,,,,1,,,,,,,6,,,1,,,,,1,,,,,,,,,,,,,,,,,,7,,,,
october,4,fallow,pitfall_3,,1,25,2,,,1,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
october,4,fallow,sub_1,1,,4,6,2,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,,,1,,,,,,13,,,,
october,4,fallow,sub_2,,,3,2,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,
october,5,mustard,pitfall_1,1,,8,2,,,,,,,,,,13,,,2,,,,,,,,,,,,,,1,1,,,,,1,,,5,,,,
october,5,mustard,pitfall_2,,,5,,,,2,,,1,,,,10,,1,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,
october,5,mustard,pitfall_3,,,16,4,,,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
october,5,mustard,sub_1,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,
october,5,mustard,sub_2,,,5,,,,2,1,,,,,,,,,,,,,,2,2,,,,,1,,,1,,,,,,,,,5,,,,
october,6,fallow,pitfall_1,,,33,3,,,4,3,,,,,,5,,,,,,,1,,,,,,,,,,,,,1,,,,,,4,,,,
october,6,fallow,pitfall_2,,1,15,1,,,3,,,,,,,11,,1,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,
october,6,fallow,pitfall_3,,1,5,3,,,1,,,,,,,7,,1,,,,,,,1,,,,2,,,,,,,,,,,,,5,,,,
october,6,fallow,sub_1,,,13,2,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
october,6,fallow,sub_2,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
october,7,fallow,pitfall_1,,,11,,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,
october,7,fallow,pitfall_2,,,2,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
october,7,fallow,pitfall_3,,1,3,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
october,7,fallow,sub_1,,,2,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
october,7,fallow,sub_2,,2,9,5,1,,1,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,
october,8,mustard,pitfall_1,,,19,1,,,2,,,,,,,10,,1,,,,1,,,,,,,,1,,,,,,,,,,,,8,,,,
october,8,mustard,pitfall_2,,,,2,,,1,2,,,,,,8,,,,,,1,,,,1,,,,,,,,,,,,,,,,3,,,,
october,8,mustard,pitfall_3,1,1,32,2,,,3,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
october,8,mustard,sub_1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,
october,8,mustard,sub_2,,,7,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
november,1,fallow,pitfall_1,1,2,8,2,1,,,5,,,,,,2,,,,,,,,,,,,,,,,6,5,,,,,,,,,1,,1,,
november,1,fallow,pitfall_2,,,2,,1,,1,8,,,,,,2,,,,,,,,,,,1,,,,,4,2,,,,,1,,1,,2,,1,,
november,1,fallow,pitfall_3,,,1,,,,,6,,,,,,7,,,1,,,,,,,1,1,,,,,1,2,,,,,,,,,1,,,,
november,1,fallow,sub_1,,,4,,,,,,,,,,1,,,,,,,,,,,,,4,,,,3,1,,,,,,,,,,,,,
november,1,fallow,sub_2,1,,,,,,,7,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
november,2,mustard,pitfall_1,,1,5,4,2,,,15,,,2,,,7,,,1,,,,,1,,,1,,,,,6,4,,,,,,,,,5,,,,
november,2,mustard,pitfall_2,,,6,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
november,2,mustard,pitfall_3,1,1,5,3,2,,,9,,,,,1,4,,2,,,,,,,,,1,,,,,4,6,,,1,,,,,,,,,,
november,2,mustard,sub_1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,1,,,,
november,2,mustard,sub_2,,,,2,,,,,,,,,,,,,1,,,,,2,,,,,,,,2,3,,,,,,,,,,,,,
november,3,mustard,pitfall_1,1,,5,,1,,,5,,,,,2,8,,,,,,,,,1,,,,,,,1,2,,,1,,,,,,1,,,,
november,3,mustard,pitfall_2,,,23,2,5,,,2,,,,,1,1,,,1,,,,,2,,,,,,,,,1,,,,,,,,,2,,3,,
november,3,mustard,pitfall_3,,,9,2,,,,1,,,,,1,4,,,1,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,
november,3,mustard,sub_1,,,2,3,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,6,,,,
november,3,mustard,sub_2,,,,2,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
november,4,fallow,pitfall_1,2,2,7,4,1,,,6,,,,,,5,,,,,,,,4,,,,,,,,1,,,,,,,,,,3,,,,
november,4,fallow,pitfall_2,,,3,1,1,,,3,,,,,,4,,,,,,,,,,,1,,,,,2,1,,,,,1,,,,2,,,,
november,4,fallow,pitfall_3,,,9,2,,,,6,,,,,,3,,,,,,,,,,1,2,,,,,2,2,,,,,,,,,3,,,,
november,4,fallow,sub_1,,,1,4,,,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,3,,,,
november,4,fallow,sub_2,,,8,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,3,,,,
november,5,mustard,pitfall_1,,1,10,4,1,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
november,5,mustard,pitfall_2,,,4,5,,,,4,,,,,1,16,,2,3,,,,,2,1,,5,,,,,1,1,,,,,,,,,1,,,,
november,5,mustard,pitfall_3,1,,,1,,,,1,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,
november,5,mustard,sub_1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,3,,,,
november,5,mustard,sub_2,,,3,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,
november,6,fallow,pitfall_1,1,3,3,1,1,,,4,,,,,,1,,,,,,,,1,,,,,,,,2,2,,,,,,,,,5,,,,
november,6,fallow,pitfall_2,1,2,6,4,,,,6,,,,1,,5,,,,,,,,1,,,1,,,,,4,2,,,,,,,,,1,,,,
november,6,fallow,pitfall_3,,2,,6,,,,,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,1,6,,,,
november,6,fallow,sub_1,,,,4,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,3,1,,,,,1,,,4,,,,
november,6,fallow,sub_2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
november,7,fallow,pitfall_1,1,,8,1,,,1,3,,,,,,4,,,1,,,,,,,,,,,,,2,3,,,,,,,,,4,,,,
november,7,fallow,pitfall_2,,1,5,4,,,,11,,,,,,4,,,,,,,,,,,1,,,,,,2,,,,,,,,2,2,,,,
november,7,fallow,pitfall_3,,2,2,1,,,,6,,,,,,5,,,,,,,,,,,,,,,,1,1,,,,,,,,,9,,,,
november,7,fallow,sub_1,1,,5,2,2,,,10,,,,,,,,,,,,,,2,1,,,,,,,1,4,,,1,,,,,,3,,,,
november,7,fallow,sub_2,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
november,8,mustard,pitfall_1,2,1,19,7,1,,,5,,1,,,,8,,1,2,,,,,,,,3,,,,,2,1,,,,,,,,,5,,,,
november,8,mustard,pitfall_2,1,,4,2,,,,4,,,,,,11,,,1,,,,,,,,1,,,,,,1,1,,,,,1,,,6,,,,
november,8,mustard,pitfall_3,1,3,14,3,3,,,5,,,,,,19,,1,3,,,,,,,,3,,,,,2,2,1,,,,,1,,,5,,,,
november,8,mustard,sub_1,,,11,3,,,,2,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,
november,8,mustard,sub_2,1,,5,3,,,,5,,,,,,1,,,,,,,,,,,5,,,,,1,2,,,1,,,,,,,,,,
