fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,fallow,mustard,mustard,mustard,mustard,mustard
84.21052632,96.77419355,88,0,0,83.63636364,86.04651163,94.23076923,0,0,96.77419355,91.42857143,100,0,100,82.60869565,81.48148148,0,0,85.14851485,80.55555556,98.85057471,NA,83.33333333,69.44444444,84.61538462,84.375,75,0,95.83333333,87.5,95.45454545,50,0,71.73913043,87.75510204,92,NA,20,70,85.71428571,55.55555556,0,0,100,50,100,0,40,40,50,90.47619048,0,0,25,75,0,0,0,72.22222222,83.33333333,100,0,0,71.42857143,73.33333333,63.63636364,100,100,33.33333333,100,100,100,0,76.92307692,80,75,0,0,15.38461538,18.18181818,53.84615385,0,0,35,NA,22.22222222,0,0,61.53846154,20,50,33.33333333,NA,50,44.44444444,30,0,0,100,51.61290323,66.66666667,0,0,16.66666667,38.46153846,20,0,0,40,44.44444444,71.42857143,0,0,47.05882353,68.75,59.375,50,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.846153846,3.125,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,NA,0,0,0,3.125,0,0,0,0,0,0,0,2.173913043,2.040816327,0,NA,0,10,0,0,0,0,0,0,0,0,0,40,0,4.761904762,0,0,16.66666667,0,50,0,0,0,8.333333333,0,0,0,0,6.666666667,9.090909091,0,0,33.33333333,0,0,0,33.33333333,7.692307692,0,25,0,0,0,0,0,0,0,0,NA,11.11111111,0,0,0,0,0,0,NA,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941,0,3.125,0,0
5.263157895,0,4,0,0,3.636363636,0,0,0,0,0,2.857142857,0,0,0,0,1.851851852,0,0,0,2.777777778,0,NA,0,5.555555556,0,0,0,0,0,3.571428571,0,0,0,0,0,0,NA,0,0,0,0,100,0,0,0,0,0,0,0,0,0,75,25,0,12.5,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,7.692307692,0,0,5,NA,0,0,12.5,0,20,12.5,0,NA,0,0,0,0,0,0,9.677419355,33.33333333,0,0,0,0,40,0,0,10,0,0,0,0,11.76470588,6.25,9.375,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901,2.777777778,0,NA,0,0,0,0,0,0,0,1.785714286,0,0,0,6.52173913,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.631578947,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.818181818,0,1.923076923,0,0,0,0,0,0,0,0,1.851851852,0,0,0.99009901,0,0,NA,0,0,0,0,0,0,2.083333333,0,4.545454545,0,0,0,2.040816327,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.225806452,0,0,0,0,1.162790698,0,100,0,0,2.857142857,0,0,0,6.52173913,3.703703704,0,0,0.99009901,0,0,NA,8.333333333,0,1.923076923,0,25,100,2.083333333,1.785714286,0,0,0,2.173913043,0,0,NA,0,10,0,11.11111111,0,0,0,16.66666667,0,0,0,0,25,0,25,0,16.66666667,12.5,0,50,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,5,NA,0,20,25,0,40,0,0,NA,40,0,0,0,0,0,6.451612903,0,0,33.33333333,16.66666667,7.692307692,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0
0,0,4,0,0,1.818181818,0,0,0,0,3.225806452,0,0,0,0,6.52173913,9.259259259,100,0,1.98019802,0,0,NA,8.333333333,0,1.923076923,0,0,0,0,0,0,0,0,8.695652174,0,0,NA,0,0,0,22.22222222,0,50,0,33.33333333,0,0,20,0,0,4.761904762,0,50,0,0,0,16.66666667,100,0,0,0,0,33.33333333,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,NA,0,0,0,7.692307692,0,0,0,NA,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,0,2.173913043,0,0,0,0.99009901,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7.692307692,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66.66666667,0,6.976744186,1.923076923,0,100,0,0,0,100,0,0,0,0,100,7.920792079,8.333333333,0,NA,0,16.66666667,5.769230769,6.25,0,0,0,3.571428571,0,0,100,4.347826087,6.12244898,4,NA,40,0,0,0,0,50,0,0,0,0,40,0,25,0,0,0,25,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,7.692307692,0,50,5,NA,5.555555556,0,0,0,0,25,0,NA,0,11.11111111,20,50,50,0,16.12903226,0,50,0,0,7.692307692,0,0,0,0,11.11111111,0,0,0,17.64705882,6.25,9.375,50,50
0,0,0,0,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.777777778,1.923076923,3.125,0,0,0,0,0,0,0,0,2.040816327,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.325581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901,0,1.149425287,NA,0,0,0,0,0,0,0,1.785714286,0,0,0,2.173913043,0,0,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.15384615,36.36363636,7.692307692,37.5,0,30,NA,22.22222222,60,25,7.692307692,0,12.5,33.33333333,NA,10,22.22222222,20,0,50,0,3.225806452,0,50,0,33.33333333,30.76923077,0,16.66666667,100,20,0,14.28571429,11.11111111,0,11.76470588,0,6.25,0,10
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043,1.851851852,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,10,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,5.555555556,0,0,0,16.66666667,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46153846,18.18181818,15.38461538,12.5,0,20,NA,33.33333333,0,37.5,15.38461538,20,0,33.33333333,NA,0,11.11111111,20,0,0,0,3.225806452,0,0,33.33333333,33.33333333,15.38461538,20,50,0,30,22.22222222,14.28571429,44.44444444,100,5.882352941,6.25,6.25,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,6.25,3.125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,20,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.454545455,1.162790698,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2.173913043,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,100,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5.555555556,0,0,7.692307692,0,0,0,NA,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,50,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,6.25,3.125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,33.33333333,0,0,20,0,0,0,22.22222222,0,0,0,0,0,0,0,0
